smiles,logS
CCOP(=S)(OCC)SCSCC,-4.11
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.7360000000000015
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,-5.233
CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,-8.6
CCOc1ccc(NC(C)=O)cc1,-2.35
CCOc1ccc(NC(N)=O)cc1,-2.17
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,-3.81
CCOc1ccccc1,-2.33
CCSC(=O)N(CC(C)C)CC(C)C,-3.68
CCSC(=O)N(CC)C1CCCCC1,-3.4
CCSCC,-1.34
CCSCCSP(=S)(OC)OC,-3.091
CCSCc1ccccc1OC(=O)NC,-2.09
CCSSCC,-2.42
CC[N+](=O)[O-],-0.22
CCc1ccc(C)cc1,-3.11
CCc1ccc(CC)cc1,-3.75
CCc1ccc2ccccc2c1,-4.29
CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,-2.73
CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.26
CCc1cccc2ccccc12,-4.17
CCc1ccccc1,-2.77
CCc1ccccc1C,-3.21
CCc1ccccc1CC,-3.28
CCc1ccccn1,0.51
CN(C(=O)COc1nc2ccccc2s1)c1ccccc1,-4.873
CN(C(=O)NC(C)(C)c1ccccc1)c1ccccc1,-3.35
CN(C)C(=O)C(c1ccccc1)c1ccccc1,-2.98
CN(C)C(=O)N(C)C,0.94
CN(C)C(=O)NC1CC2CC1C1CCCC21,-3.1710000000000003
CN(C)C(=O)NC1CCCCCCC1,-2.218
CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,-4.328
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.8
CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89
CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,-4.89
CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,-3.43
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-2.93
CN(C)C(=O)Nc1ccccc1,-1.6
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,-0.85
CN(C)C(=O)SCCCCOc1ccccc1,-3.927
CN(C)C(=S)SSC(=S)N(C)C,-3.9
CN(C)c1ccccc1,-1.92
CN(C)c1nc(N(C)C)nc(N(C)C)n1,-3.364
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,-3.754
CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,-3.796
CN1C(=O)c2cccnc2Oc2ccccc21,-3.672
CN1C(C(=O)N=c2cccc[nH]2)C(=O)c2ccccc2S1(=O)=O,-4.16
CN1CC(O)N(c2nnc(C(C)(C)C)s2)C1=O,-1.877
CNC(=O)C(C)SCCSP(=O)(OC)OC,1.144
CNC(=O)C=C(C)OP(=O)(OC)OC,0.6509999999999999
CNC(=O)ON=C(CSC)C(C)(C)C,-1.62
CNC(=O)ON=C(SC)C(=O)N(C)C,0.106
CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-4.24
CNC(=O)Oc1cc(C)cc(C)c1,-2.5810000000000004
CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36
CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34
CNC(=O)Oc1cccc2c1OC(C)(C)C2,-2.8
CNC(=O)Oc1cccc2ccccc12,-3.224
CNC(=O)Oc1ccccc1,-1.803
CNC(=O)Oc1ccccc1C(C)C,-2.863
CNC(=O)Oc1ccccc1C1OCCO1,-1.57
CNC(=O)Oc1ccccc1OC(C)C,-2.05
CNc1ccccc1,-1.28
CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,-4.046
COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-4.76
COC(=O)N=c1[nH]c2ccc(C(=O)c3ccccc3)cc2[nH]1,-3.88
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805
COC(=O)c1cc(O)c(O)c(O)c1,-1.24
COC(=O)c1ccc(O)cc1,-1.827
COC(=O)c1ccccc1,-1.85
COC(=O)c1ccccc1C(=O)OC,-1.66
COC(=O)c1ccccc1OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O,-0.742
COC(=O)c1cccnc1,-0.46
COC(C)(C)C,-0.24
COC(C)(C)CCCC(C)C=CC=C(C)CC(=O)OC(C)C,-5.19
COC(C)=O,0.46
COC1=C(OC)C2C(=O)OCC2C=C1,-1.899
COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,-3.2460000000000004
COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.601
COCCCN=c1[nH]c(SC)nc(=NC(C)C)[nH]1,-2.928
COCOC,0.48
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592
CON(C)C(=O)Nc1ccc(Cl)cc1,-2.57
COP(=O)(NC(C)=O)SC,0.54
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-4.522
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-2.28
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.72
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62
COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-6.237
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-4.04
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,-4.31
COP(=S)(OC)SCC(=O)N(C)C=O,-1.995
COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,-4.432
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-4.02
COc1c2occc2c(OC)c2c(=O)cc(C)oc12,-3.0210000000000004
COc1c2occc2cc2ccc(=O)oc12,-3.664
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,-3.571
COc1cc(O)c2c(c1)OC1CCC(=O)CC1C2=O,-2.943
COc1cc2c(=N)[nH]c(N3CCN(C(=O)OCC(C)(C)O)CC3)nc2c(OC)c1OC,-3.638
COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,-2.596
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-6.89
COc1ccc(C=O)cc1,-1.49
COc1ccc(Cl)cc1,-2.78
COc1ccc(NC(=O)N(C)C)cc1Cl,-2.564
COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1,-4.16
COc1ccc([N+](=O)[O-])cc1,-2.41
COc1ccc2ccc(=O)oc2c1CC=C(C)C,-4.314
COc1cccc(Cl)c1,-2.78
COc1ccccc1,-1.85
COc1ccccc1Cl,-2.46
COc1ccccc1O,-1.96
COc1ccccc1OCC(O)COC(N)=O,-0.985
COc1ccccc1[N+](=O)[O-],-1.96
COc1cnc2cncnc2n1,-0.91
COc1cnc2ncncc2n1,-1.139
COc1nc(=NC(C)C)[nH]c(=NC(C)C)[nH]1,-2.478
COc1ncc2nccnc2n1,-1.11
COc1ncnc2nccnc12,-1.11
CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,-2.154
CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.981
CSc1ccccc1,-2.39
CSc1nc(=NC(C)C)[nH]c(=NC(C)C)[nH]1,-4.1
CSc1nc(N(C)C)nc(N(C)C)n1,-2.676
CSc1nnc(C(C)(C)C)c(=O)n1N,-2.253
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,-2.484
Cc1c(C)c(C)c(C)c(C)c1C,-5.23
Cc1c(C)c2c3ccccc3ccc2c2ccccc12,-7.01
Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,-7.3210000000000015
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-0.364
Cc1c(N)c(=O)n(-c2ccccc2)n1C,-0.624
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-3.22
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],-3.0
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,-7.02
Cc1c2ccccc2c(C)c2ccccc12,-6.57
Cc1c2ccccc2cc2ccccc12,-5.89
Cc1c[nH]c(=O)[nH]c1=N,-1.4580000000000002
Cc1c[nH]c(=O)[nH]c1=O,-1.506
Cc1c[nH]c2ccccc12,-2.42
Cc1cc(=O)[nH]c(=S)[nH]1,-2.436
Cc1cc(=O)n(-c2ccccc2)n1C,0.715
Cc1cc(C(=O)NNCc2ccccc2)no1,-2.461
Cc1cc(C)c(C)c(C)c1C,-4.0
Cc1cc(C)c(C)cc1C,-4.59
Cc1cc(C)c(O)c(C)c1,-2.05
Cc1cc(C)c2ccccc2c1,-4.29
Cc1cc(C)cc(C)c1,-3.4
Cc1cc(C)cc(O)c1,-1.4
Cc1cc(Cl)ccc1N=CN(C)C,-2.86
Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,-2.09
Cc1cc(S(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)C(F)(F)F,-3.8
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-1.456
Cc1cc2c3ccccc3ccc2c2ccccc12,-6.57
Cc1cc2ccccc2c2ccc3ccccc3c12,-6.59
Cc1cc2ccccc2cc1C,-4.72
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,-3.685
Cc1ccc(-c2ccccc2)cc1,-4.62
Cc1ccc(Br)cc1,-3.19
Cc1ccc(C(C)C)c(O)c1,-2.22
Cc1ccc(C(C)C)cc1,-3.77
Cc1ccc(C(C)C)cc1O,-2.08
Cc1ccc(C)c(C)c1,-3.31
Cc1ccc(C)c2ccccc12,-4.14
Cc1ccc(C)cc1,-2.77
Cc1ccc(Cl)cc1,-3.08
Cc1ccc(N)cc1,-1.21
Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,-5.47
Cc1ccc(NC(=O)N(C)C)cc1Cl,-3.483
Cc1ccc(O)c(C)c1,-1.19
Cc1ccc(O)cc1,-0.73
Cc1ccc(O)cc1C,-1.38
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,-6.01
Cc1ccc(S(N)(=O)=O)cc1,-1.74
Cc1ccc([N+](=O)[O-])cc1,-2.49
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-2.82
Cc1ccc2c(c1)C(=O)N(C)c1cc(N)ccc1O2,-3.928
Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,-3.043
Cc1ccc2c(ccc3c4c5c(cccc5cc32)CC4)c1,-7.92
Cc1ccc2c(ccc3ccccc32)c1,-5.84
Cc1ccc2cc(C)ccc2c1,-4.89
Cc1ccc2cc3ccccc3cc2c1,-6.96
Cc1ccc2ccc(C)nc2c1,-1.94
Cc1ccc2ccccc2c1,-3.77
Cc1cccc(C)c1,-2.82
Cc1cccc(C)c1C,-3.2
Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,-3.79
Cc1cccc(C)c1O,-1.29
Cc1cccc(C)n1,0.45
Cc1cccc(N)c1,-0.85
Cc1cccc(O)c1,-0.68
Cc1cccc([N+](=O)[O-])c1,-2.44
Cc1cccc2c(C)cccc12,-4.6789999999999985
Cc1cccc2c1Cc1ccccc1-2,-5.22
Cc1cccc2c1ccc1ccccc12,-5.85
Cc1cccc2ccccc12,-3.7
Cc1cccc2sc3nncn3c12,-2.07
Cc1ccccc1,-2.21
Cc1ccccc1-n1c(C)nc2ccccc2c1=O,-2.925
Cc1ccccc1Br,-2.23
Cc1ccccc1C,-2.8
Cc1ccccc1C(C)C,-3.76
Cc1ccccc1Cl,-3.52
Cc1ccccc1N,-2.21
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,-3.78
Cc1ccccc1O,-0.62
Cc1ccccc1[N+](=O)[O-],-2.33
Cc1cccnc1C,0.38
Cc1ccnc(C)c1,0.38
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-3.19
Cc1ccncc1C,0.36
Cc1cnc2cncnc2n1,-0.8540000000000001
Cc1cncc(C)c1,0.38
Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-1.95
Cc1ncc([N+](=O)[O-])n1CCO,-1.26
Cc1ncc2nccnc2n1,-0.12
Cc1ncnc2nccnc12,-0.466
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,-4.09
Cc1occc1C(=O)Nc1ccccc1,-3.3
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67
ClC(Cl)(Cl)Cl,-2.31
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.92
ClC(Cl)=C(Cl)Cl,-2.54
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.9
ClC(Cl)C(Cl)(Cl)Cl,-2.6
ClC(Cl)C(Cl)Cl,-1.74
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-6.8
ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-7.278
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,-6.86
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,-6.317
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,-6.307
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.29
ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl,-5.64
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64
ClC=C(Cl)Cl,-1.96
ClCC(Cl)(Cl)Cl,-2.18
ClCC(Cl)Cl,-1.48
ClCCCCl,-1.62
ClCc1ccccc1,-2.39
Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-11.6
Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,-7.92
Clc1c(Cl)c(Cl)c2nccnc2c1Cl,-5.43
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-9.16
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,-8.71
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.32
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,-8.56
Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,-7.21
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-9.15
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65
Clc1cc(Cl)c(Cl)cc1Cl,-5.56
Clc1cc(Cl)cc(Cl)c1,-4.48
Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-7.92
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-7.66
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-7.43
Clc1ccc(-c2c(Cl)cccc2Cl)cc1,-6.14
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-7.39
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,-7.82
Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,-6.57
Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,-6.25
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,-7.8
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-8.01
Clc1ccc(-c2ccc(Cl)cc2)cc1,-6.56
Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-6.29
Clc1ccc(-c2ccccc2)cc1Cl,-6.39
Clc1ccc(-c2ccccc2Cl)cc1,-5.28
Clc1ccc(Br)cc1,-3.63
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,-7.15
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,-7.2
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,-6.51
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,-8.94
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,-7.42
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,-7.68
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25
Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,-6.47
Clc1ccc(Cl)c(Cl)c1,-3.59
Clc1ccc(Cl)c(Cl)c1Cl,-4.57
Clc1ccc(Cl)cc1,-3.27
Clc1ccc(I)cc1,-4.03
Clc1ccc2ccccc2c1,-4.14
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-8.6
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01
Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,-7.28
Clc1cccc(-c2ccccc2)c1,-4.88
Clc1cccc(Br)c1,-3.21
Clc1cccc(C(Cl)(Cl)Cl)n1,-3.76
Clc1cccc(Cl)c1,-3.04
Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-7.39
Clc1cccc(Cl)c1-c1ccccc1,-5.21
Clc1cccc(Cl)c1Cl,-4.0
Clc1cccc(I)c1,-3.55
Clc1cccc2ccccc12,-3.93
Clc1ccccc1,-2.38
Clc1ccccc1-c1ccccc1,-4.54
Clc1ccccc1-c1ccccc1Cl,-5.27
Clc1ccccc1Br,-3.19
Clc1ccccc1Cl,-3.05
Clc1ccccc1I,-3.54
Cn1c(=O)c2[nH]cnc2n(C)c1=O,-1.39
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.8759999999999999
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,-0.17
Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,-2.82
Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,-4.445
Cn1ccc(=O)[nH]c1=O,-0.807
Cn1cnc2c1c(=O)[nH]c(=O)n2C,-2.523
FC(F)(Cl)C(F)(Cl)Cl,-3.04
FC(F)(Cl)C(F)(F)Cl,-2.74
FC(F)(F)C(Cl)Br,-1.71
FC(F)(F)c1ccccc1,-2.51
Fc1ccc(F)cc1,-1.97
Fc1cccc(Br)c1,-2.67
Fc1cccc(F)c1,-2.0
Fc1ccccc1,-1.8
Fc1ccccc1Br,-2.7
Ic1cccc2ccccc12,-4.55
Ic1ccccc1,-3.01
N#CC(Cl)(Cl)Cl,-2.168
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77
N#CCCCl,-0.29
N#CN=C(N)N,-0.31
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64
N#Cc1cc(Br)c(O)c(Br)c1,-3.33
N#Cc1cc(I)c(O)c(I)c1,-3.61
N#Cc1ccccc1,-1.0
N#Cc1ccccc1C#N,-2.38
N=C(N)NS(=O)(=O)c1ccc(N)cc1,-1.99
N=c1[nH]c(=N)c2nc(-c3ccccc3)c(=N)[nH]c2[nH]1,-2.404
N=c1[nH]c(=O)[nH]c2[nH]cnc12,-3.401
N=c1[nH]c(=O)[nH]cc1F,-0.972
N=c1[nH]c(=O)c2[nH]cnc2[nH]1,-3.583
N=c1[nH]c(N2CCCCC2)cc(N)[n+]1[O-],-1.989
N=c1[nH]ccs1,-0.36
N=c1[nH]cnc2[nH]cnc12,-2.12
N=c1[nH]cnc2c1ccn2C1OC(CO)C(O)C1O,-1.95
N=c1cc[nH]c(=O)[nH]1,-1.155
N=c1nc[nH][nH]1,0.522
NC(=O)CCl,-0.02
NC(=O)NCc1ccccc1,-0.95
NC(=O)Nc1[nH]c(=O)[nH]c1O,-1.6
NC(=O)c1ccccc1,-0.96
NC(=O)c1ccccc1O,-1.82
NC(=O)c1cccnc1,0.61
NC(=O)c1cnccn1,-0.667
NC(=S)Nc1ccccc1,-1.77
NNC(=O)c1ccncc1,0.009000000000000001
NNc1ccccc1,0.07
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,-3.451
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,-3.59
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-3.05
NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,-2.68
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-2.63
Nc1cc2c3ccccc3ccc2c2ccccc12,-6.2
Nc1ccc(-c2ccc(N)cc2)cc1,-2.7
Nc1ccc(Cl)cc1,-1.66
Nc1ccc(O)cc1,-0.8
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-3.094
Nc1ccc(S(N)(=O)=O)cc1,-1.34
Nc1ccc([N+](=O)[O-])cc1,-2.37
Nc1ccc2cc3ccccc3cc2c1,-5.17
Nc1cccc(Cl)c1,-1.37
Nc1cccc([N+](=O)[O-])c1,-2.19
Nc1cccc2ccccc12,-1.92
Nc1cccc2nc3ccccc3cc12,-4.22
Nc1ccccc1,-0.41
Nc1ccccc1Cl,-1.52
Nc1ccccc1O,-0.72
Nc1ccccc1[N+](=O)[O-],-1.96
Nc1cnn(-c2ccccc2)c(=O)c1Br,-3.127
Nc1cnn(-c2ccccc2)c(=O)c1Cl,-2.878
O=C(C=C(Cl)Cl)Nc1c(Cl)c(O)c2ccccc2c1O,-5.03
O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,-3.46
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.81
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F,-7.28
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,-6.02
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,-2.111
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.7
O=C(Nc1cccc(Cl)c1)OCC#CCCl,-4.37
O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1,-5.915
O=C(Nc1ccccc1)Nc1ccccc1,-3.15
O=C(Nc1ccccc1)c1ccccc1I,-4.21
O=C(Nc1ccccc1)c1ccccc1O,-3.59
O=C(OCC(O)CO)c1ccccc1N=c1cc[nH]c2cc(Cl)ccc12,-4.5710000000000015
O=C(c1ccccc1)C(O)c1ccccc1,-2.85
O=C(c1ccccc1)c1ccccc1,-3.12
O=C1C(Cl)C(CCl)CN1c1cccc(C(F)(F)F)c1,-4.047
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-5.259
O=C1C=NC(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,-3.796
O=C1C=NC(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,-3.499
O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,-3.62
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-2.676
O=C1CCCCC1,-0.6
O=C1CCCN1,1.07
O=C1NC(=O)C(=O)C(=O)N1,-1.25
O=C1NC(=O)C(=O)N1,-0.4
O=C1NC(=O)C(O)(C2(O)C(=O)NC(=O)NC2=O)C(=O)N1,-1.99
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-4.097
O=C1NC(=O)C2(CC2)C(=O)N1,-1.886
O=C1NC(=O)C2(CCC2)C(=O)N1,-1.655
O=C1NC(=O)C2(CCCC2)C(=O)N1,-2.349
O=C1NC(=O)C2(CCCCC2)C(=O)N1,-3.06
O=C1NC(=O)C2(CCCCCC2)C(=O)N1,-3.168
O=C1NC(=O)C2(CCCCCCC2)C(=O)N1,-2.982
O=C1NC(=O)c2ccccc21,-2.61
O=C1NCCN1c1ncc([N+](=O)[O-])s1,-3.22
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)NC1=O,-3.952
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)NC1=O,-3.604
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,-2.9
O=C1c2ccccc2C(=O)c2ccccc21,-5.19
O=C1c2ccccc2Cc2ccccc2N1CCF,-4.799
O=CNC(N1C=CN(C(NC=O)C(Cl)(Cl)Cl)C=C1)C(Cl)(Cl)Cl,-4.19
O=Cc1ccc(O)cc1,-0.96
O=Cc1ccc2c(c1)OCO2,-1.63
O=Cc1ccccc1,-1.19
O=Cc1ccco1,-0.1
O=[N+]([O-])C(Cl)(Cl)Cl,-2.0
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-2.22
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-5.82
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,-2.89
O=[N+]([O-])c1ccc(C=NO)o1,-2.19
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,-3.2
O=[N+]([O-])c1ccc(Cl)cc1,-2.92
O=[N+]([O-])c1ccc(O)cc1,-0.74
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,-5.46
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,-3.39
O=[N+]([O-])c1cccc(Cl)c1,-2.77
O=[N+]([O-])c1cccc(Cl)c1Cl,-3.48
O=[N+]([O-])c1cccc(O)c1,-1.01
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,-2.29
O=[N+]([O-])c1cccc2ccccc12,-3.54
O=[N+]([O-])c1ccccc1,-1.8
O=[N+]([O-])c1ccccc1Cl,-2.55
O=[N+]([O-])c1ccccc1O,-1.74
O=[N+]([O-])c1ccccc1[N+](=O)[O-],-3.1
O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,-3.93
O=c1[nH]c(O)cn1N=Cc1ccc([N+](=O)[O-])o1,-3.38
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,-4.5939999999999985
O=c1[nH]c2cc(Cl)ccc2o1,-2.8310000000000004
O=c1[nH]cc(F)c(=O)[nH]1,-1.077
O=c1[nH]cc(O)[nH]1,-0.4
O=c1[nH]cnc2[nH]cnc12,-2.296
O=c1[nH]cnc2[nH]ncc12,-2.266
